"userid","country","groups","deviceid","device","sellerid","itemid","date","views","clicks","revenue"
3441,"US","control",12745,"Ios",306,1685,2017-05-09,5,1,0
3048,"GB","control",19244,"Android",227,2257,2017-05-09,3,1,0
6640,"CA","treatment",17198,"Other",220,2977,2017-05-10,8,2,114.090410268156
4326,"US","control",5329,"Ios",431,1471,2017-05-12,4,0,0
6993,"US","control",15955,"Web",399,1812,2017-05-08,4,2,0
3894,"CN","control",10976,"Ios",215,1759,2017-05-12,5,0,0
6748,"GB","control",12300,"Other",394,2509,2017-05-12,8,1,0
2142,"CA","treatment",11734,"Ios",118,1245,2017-05-12,6,0,0
3551,"GB","control",16864,"Ios",168,2463,2017-05-12,5,0,0
4008,"US","treatment",15139,"Web",361,1673,2017-05-10,3,0,0
9982,"US","treatment",17921,"Web",469,2146,2017-05-16,5,2,0
5248,"GB","control",9356,"Android",321,2074,2017-05-12,4,0,0
8215,"GB","control",6734,"Other",187,1538,2017-05-13,6,0,0
6053,"GB","treatment",11927,"Ios",350,2671,2017-05-10,6,0,0
8901,"US","control",11261,"Android",330,1093,2017-05-15,8,2,0
6491,"CA","control",15372,"Ios",155,2736,2017-05-13,8,0,0
7550,"US","treatment",14817,"Ios",415,1174,2017-05-12,4,0,0
8063,"CA","control",19908,"Other",374,2681,2017-05-20,4,1,0
1335,"US","control",18944,"Ios",210,1046,2017-05-21,3,0,0
7264,"US","control",5720,"Ios",151,1114,2017-05-18,6,1,0
1233,"CA","control",11974,"Ios",226,2313,2017-05-15,9,4,0
5747,"GB","treatment",14889,"Web",113,2833,2017-05-14,3,0,0
7117,"US","treatment",5504,"Other",133,1033,2017-05-14,4,0,0
7210,"US","control",8318,"Ios",299,1925,2017-05-10,6,1,0
3885,"US","treatment",12677,"Web",484,1579,2017-05-13,7,1,0
5311,"GB","treatment",12048,"Web",387,2615,2017-05-20,2,0,0
8249,"CA","control",13740,"Other",168,1157,2017-05-12,7,2,88.6007179404652
2354,"CN","control",14286,"Web",321,1729,2017-05-08,7,3,0
1664,"CA","treatment",15255,"Android",172,1875,2017-05-18,13,2,0
3946,"GB","control",5251,"Ios",180,1246,2017-05-12,5,2,0
6019,"US","treatment",11129,"Web",500,1822,2017-05-19,4,2,0
9641,"US","control",19866,"Android",422,1150,2017-05-10,8,1,0
8505,"CA","treatment",17423,"Other",125,2772,2017-05-20,4,0,0
6443,"CA","control",17022,"Web",423,2138,2017-05-10,2,0,0
3395,"US","control",17822,"Web",462,1811,2017-05-17,7,0,0
9456,"GB","treatment",10361,"Android",250,2805,2017-05-14,6,1,0
1226,"GB","treatment",16226,"Other",203,2587,2017-05-19,2,0,0
5251,"CA","control",18356,"Android",142,2368,2017-05-21,3,2,0
5346,"US","treatment",19036,"Ios",422,1103,2017-05-21,6,1,0
5147,"GB","treatment",9039,"Other",371,1225,2017-05-14,10,2,192.331493367577
2628,"GB","treatment",11218,"Android",472,2157,2017-05-10,5,1,0
8756,"CN","control",14987,"Other",130,1985,2017-05-16,7,1,0
1729,"CN","treatment",18300,"Android",101,1088,2017-05-13,6,1,0
7784,"CN","treatment",16817,"Other",126,1325,2017-05-12,9,2,0
6828,"CN","treatment",7099,"Ios",381,2375,2017-05-14,2,0,0
8258,"CA","control",10610,"Android",126,1871,2017-05-08,1,0,0
6910,"US","control",18359,"Web",288,1019,2017-05-15,8,0,0
8109,"US","control",18335,"Web",359,2415,2017-05-13,4,1,0
5358,"US","control",5580,"Web",282,1649,2017-05-20,3,1,0
8065,"GB","control",14507,"Android",376,1217,2017-05-08,4,1,0
6123,"US","control",8533,"Ios",196,2842,2017-05-11,7,3,106.405619742313
1452,"US","control",15137,"Other",477,1875,2017-05-14,6,3,120.11716450735
9748,"GB","treatment",8991,"Android",321,2907,2017-05-10,4,0,0
3173,"CN","treatment",14648,"Web",399,2980,2017-05-13,5,1,0
2156,"GB","control",19398,"Other",349,2735,2017-05-15,9,3,105.204096906709
5554,"CA","control",19988,"Ios",337,1502,2017-05-08,7,2,0
8288,"CN","control",17680,"Web",287,2636,2017-05-12,6,1,0
5861,"CN","control",17668,"Android",429,2104,2017-05-12,7,2,0
1553,"US","control",10530,"Other",286,1877,2017-05-10,6,1,0
9023,"US","control",14189,"Ios",393,2041,2017-05-11,6,0,0
5796,"CA","control",6083,"Ios",336,2794,2017-05-18,5,1,0
2543,"GB","treatment",19857,"Ios",126,2322,2017-05-09,1,0,0
4745,"GB","control",6995,"Web",483,2357,2017-05-19,3,0,0
5498,"US","treatment",5232,"Ios",207,2723,2017-05-17,6,2,121.866107511446
5067,"US","control",13787,"Android",177,2706,2017-05-18,5,1,0
1195,"CN","control",10138,"Other",453,2495,2017-05-14,8,1,76.3608017730084
6692,"CA","control",14931,"Web",474,1770,2017-05-10,5,1,0
5868,"GB","treatment",18626,"Ios",309,2465,2017-05-17,6,0,0
2700,"CN","treatment",6436,"Android",338,2220,2017-05-21,4,0,0
6682,"US","control",17355,"Web",422,2753,2017-05-09,7,1,0
4673,"CA","treatment",11753,"Android",188,2770,2017-05-19,3,0,0
3664,"US","control",12666,"Web",162,1280,2017-05-11,10,1,0
2160,"CN","treatment",18840,"Web",278,1904,2017-05-19,1,0,0
1994,"CA","control",15166,"Other",368,2530,2017-05-17,9,1,0
9150,"US","control",19082,"Other",249,1747,2017-05-17,8,1,0
8512,"CN","treatment",9810,"Ios",147,1904,2017-05-10,3,1,0
7700,"GB","control",14373,"Other",408,2591,2017-05-15,5,2,0
6040,"GB","control",11135,"Other",224,1944,2017-05-20,6,2,0
6822,"US","control",13284,"Web",244,2538,2017-05-20,6,1,0
5149,"GB","control",11874,"Web",315,1183,2017-05-18,3,1,0
2393,"US","treatment",13906,"Web",289,2718,2017-05-17,4,1,68.3783927538112
3585,"US","treatment",8424,"Web",276,1471,2017-05-10,5,3,0
2791,"CA","control",15241,"Android",401,2651,2017-05-17,7,1,0
3016,"GB","control",18387,"Web",448,2119,2017-05-17,7,3,168.770410705451
2469,"CA","treatment",17747,"Ios",447,1261,2017-05-19,4,1,0
4010,"GB","treatment",6700,"Other",123,1841,2017-05-12,5,2,0
7059,"US","treatment",15648,"Android",487,2193,2017-05-13,2,1,0
6730,"US","treatment",12326,"Android",383,2930,2017-05-21,3,0,0
7436,"CN","control",6707,"Ios",301,2021,2017-05-18,9,3,0
6242,"GB","control",10025,"Web",245,1627,2017-05-12,5,1,0
7176,"CA","treatment",5074,"Ios",137,1532,2017-05-20,3,1,0
7413,"CN","treatment",7792,"Ios",270,2785,2017-05-12,4,0,0
3909,"US","treatment",6926,"Android",152,1285,2017-05-09,10,2,0
7886,"GB","treatment",8003,"Ios",361,1725,2017-05-19,8,2,0
8077,"CN","treatment",8973,"Android",371,2511,2017-05-14,7,1,0
1009,"US","control",14841,"Web",454,1487,2017-05-13,12,4,0
9427,"CN","control",9991,"Web",294,1270,2017-05-15,7,1,0
7605,"US","treatment",18466,"Android",350,1312,2017-05-14,11,3,0
7511,"US","control",18170,"Android",254,1815,2017-05-08,6,1,0
8592,"CA","control",19067,"Web",185,2831,2017-05-17,6,1,0
1620,"GB","treatment",12816,"Other",137,2682,2017-05-15,5,3,0
9988,"CA","treatment",12627,"Other",407,2127,2017-05-21,10,2,97.1356473280296
6331,"CA","treatment",11198,"Ios",237,1216,2017-05-08,4,1,0
2356,"US","treatment",14066,"Web",299,2735,2017-05-14,3,0,0
2487,"US","treatment",18068,"Ios",448,2241,2017-05-11,12,4,107.494394592093
4620,"CA","control",18979,"Ios",403,1809,2017-05-14,9,2,0
9251,"GB","control",11837,"Other",488,1151,2017-05-20,5,1,0
5002,"GB","control",12015,"Android",387,1349,2017-05-11,5,0,0
6198,"GB","treatment",15208,"Web",176,1359,2017-05-13,5,0,0
8945,"US","control",9225,"Web",378,1455,2017-05-18,7,4,0
6430,"CN","control",6869,"Ios",220,2309,2017-05-15,15,3,112.566351578844
6231,"CN","control",15623,"Other",278,2019,2017-05-08,6,2,111.649715660693
9205,"GB","control",8724,"Web",311,1019,2017-05-19,3,0,0
8091,"GB","control",11277,"Other",187,2289,2017-05-15,10,2,112.371145264773
7468,"CN","control",7368,"Android",350,2719,2017-05-20,4,1,0
8891,"CN","control",15902,"Web",178,2095,2017-05-08,9,1,0
2716,"CA","treatment",5002,"Other",220,1951,2017-05-18,10,3,0
8947,"GB","treatment",18830,"Android",353,2988,2017-05-20,3,0,0
6006,"GB","treatment",11021,"Android",452,2482,2017-05-21,4,1,0
8989,"CA","treatment",8699,"Web",155,1042,2017-05-15,7,0,0
6382,"GB","control",8282,"Ios",162,2716,2017-05-18,10,2,0
8816,"US","control",7066,"Web",250,1521,2017-05-10,3,1,0
2416,"CN","control",17285,"Web",487,1152,2017-05-10,9,4,86.5165581931748
7148,"CA","treatment",13920,"Web",109,2096,2017-05-16,1,0,0
1864,"CA","treatment",15839,"Ios",142,1621,2017-05-09,4,0,0
2420,"GB","treatment",15851,"Web",361,1678,2017-05-11,7,0,0
5882,"GB","control",15313,"Android",250,1911,2017-05-14,9,3,0
3028,"US","treatment",13623,"Web",306,2603,2017-05-08,8,2,133.289433633645
5835,"US","control",7376,"Other",474,1763,2017-05-21,2,0,0
1532,"GB","treatment",14725,"Web",178,2143,2017-05-19,7,2,0
3840,"GB","treatment",5723,"Web",126,1212,2017-05-18,3,0,0
6682,"US","control",17355,"Web",422,2753,2017-05-08,6,1,0
3063,"US","control",18814,"Ios",261,1443,2017-05-18,5,3,124.774704265732
7745,"US","control",18163,"Other",199,1531,2017-05-12,3,1,0
9498,"US","control",9125,"Android",500,1321,2017-05-19,9,2,0
3916,"GB","control",15362,"Ios",296,2607,2017-05-15,5,1,0
